[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-01-01 to 2024-01-10 for MAC
[11:24:58] WARNING | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 93 | Failed to fetch chunk 2024-01-01 to 2024-01-10 for MAC: Network error
[11:24:58] WARNING | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 98 | 1 chunks failed for MAC, continuing with successful chunks
[11:24:58] WARNING | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 101 | No data found for MAC between 2024-01-01 and 2024-01-10
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 129 | Updating TEFAS prices for MAC
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 143 | MAC is up to date (latest: 2026-01-22, 0 days ago)
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 129 | Updating TEFAS prices for MAC
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 143 | MAC is up to date (latest: 2026-01-22, 0 days ago)
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 129 | Updating TEFAS prices for MAC
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 143 | MAC is up to date (latest: 2026-01-22, 0 days ago)
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 129 | Updating TEFAS prices for MAC
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 143 | MAC is up to date (latest: 2026-01-22, 0 days ago)
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 129 | Updating TEFAS prices for MAC
